Date,Category,Category ID,Exercise,Exercise ID,Weight,Sets,Reps,VOLUME,Hypertrophy/Strength,Workout Type ID,E1RM,E1RM %,,Category,Category ID
2/18/2023,Legs,3,Barbell Squat,7,315,2,5,3150,Strength,1,367.5,85.71428571,,,
2/18/2023,Legs,3,Barbell Squat,7,0,0,0,0,Strength,1,0,#DIV/0!,,,
2/18/2023,Legs,3,Barbell Squat,7,0,0,0,0,Strength,1,0,#DIV/0!,,,
2/19/2023,Rest,0,Rest,0,0,0,0,0,Rest,0,0,#DIV/0!,,,
2/20/2023,Push,1,Incline Bench Press,2,135,1,8,1080,Strength,1,171,78.94736842,,,
2/20/2023,Push,1,Incline Bench Press,2,185,2,5,1850,Strength,1,215.8333333,85.71428571,,,
2/20/2023,Push,1,Incline Bench Press,2,195,2,3,1170,Strength,1,214.5,90.90909091,,,
2/20/2023,Push,1,Overhead Press,3,95,1,8,760,Strength,1,120.3333333,78.94736842,,,
2/20/2023,Push,1,Overhead Press,3,135,1,6,810,Strength,1,162,83.33333333,,,
2/20/2023,Push,1,Overhead Press,3,145,2,3,870,Strength,1,159.5,90.90909091,,,
2/21/2023,Pull,2,Pull Ups,5,180,3,10,5400,Strength,1,240,75,,,
2/21/2023,Pull,2,Pull Ups,5,215,1,6,1290,Strength,1,258,83.33333333,,,
2/21/2023,Pull,2,Pull Ups,5,225,1,4,900,Strength,1,255,88.23529412,,,
2/21/2023,Pull,2,Deadlift,4,135,1,5,675,Strength,1,157.5,85.71428571,,,
2/21/2023,Pull,2,Deadlift,4,225,1,5,1125,Strength,1,262.5,85.71428571,,,
2/21/2023,Pull,2,Deadlift,4,315,1,5,1575,Strength,1,367.5,85.71428571,,,
2/21/2023,Pull,2,Deadlift,4,405,3,5,6075,Strength,1,472.5,85.71428571,,,
2/22/2023,Legs,3,Barbell Squat,7,135,1,8,1080,Strength,1,171,78.94736842,,,
2/22/2023,Legs,3,Barbell Squat,7,225,2,8,3600,Strength,1,285,78.94736842,,,
